coin_number,title,short_id,url,upload_date,duration
115,Silver Coin #115 has been found in #HuntTheMouse Singapore!,n1PfCOuZ2BY,https://www.youtube.com/shorts/n1PfCOuZ2BY,20241019,20
116,Silver Coin #116 has been found in #HuntTheMouse Singapore!,0H3hXAX0b9w,https://www.youtube.com/shorts/0H3hXAX0b9w,20241019,16
117,Silver Coin #117 has been found in #HuntTheMouse Singapore!,ChlYXaM9c74,https://www.youtube.com/shorts/ChlYXaM9c74,20241020,15
118,Silver Coin #118 has been found in #HuntTheMouse Singapore!,bTNCW37psfM,https://www.youtube.com/shorts/bTNCW37psfM,20241022,17
119,Silver Coin #119 has been found in #HuntTheMouse Singapore!,8i7tSwDJfC0,https://www.youtube.com/shorts/8i7tSwDJfC0,20241021,19
120,Silver Coin #120 has been found in #HuntTheMouse Singapore!,Z8V-QJuC3X8,https://www.youtube.com/shorts/Z8V-QJuC3X8,20241019,19
121,Silver Coin #121 has been found in #HuntTheMouse Singapore!,2RiA4WN9Sj0,https://www.youtube.com/shorts/2RiA4WN9Sj0,20241025,16
122,Silver Coin #122 has been found in #HuntTheMouse Singapore!,k4vnW2PQwts,https://www.youtube.com/shorts/k4vnW2PQwts,20241021,22
123,Silver Coin #123 has been found in #HuntTheMouse Singapore!,k2FVHdr4qpw,https://www.youtube.com/shorts/k2FVHdr4qpw,20241021,17
124,Silver Coin #124 has been found in #HuntTheMouse Singapore!,Ux0UmMLYb20,https://www.youtube.com/shorts/Ux0UmMLYb20,20241022,19
125,Silver Coin #125 has been found in #HuntTheMouse Singapore!,jrKQha3_wDI,https://www.youtube.com/shorts/jrKQha3_wDI,20241021,14
126,Silver Coin #126 has been found in #HuntTheMouse Singapore!,FE_jOeSU4uI,https://www.youtube.com/shorts/FE_jOeSU4uI,20241021,35
127,Silver Coin #127 has been found in #HuntTheMouse Singapore!,3gXjHanQJPg,https://www.youtube.com/shorts/3gXjHanQJPg,20241022,15
128,Silver Coin #128 has been found in #HuntTheMouse Singapore!,mVqn_AdeUj0,https://www.youtube.com/shorts/mVqn_AdeUj0,20241022,17
129,Silver Coin #129 has been found in #HuntTheMouse Singapore!,1FIPCXAyIT4,https://www.youtube.com/shorts/1FIPCXAyIT4,20241021,21
130,Silver Coin #130 has been found in #HuntTheMouse Singapore!,XfL8oGlUbJw,https://www.youtube.com/shorts/XfL8oGlUbJw,20241022,15
131,Silver Coin #131 has been found in #HuntTheMouse Singapore!,slyIJ9XdhLQ,https://www.youtube.com/shorts/slyIJ9XdhLQ,20241023,15
132,Silver Coin #132 has been found in #HuntTheMouse Singapore!,ihhzeeVSTCw,https://www.youtube.com/shorts/ihhzeeVSTCw,20241030,20
133,Silver Coin #133 has been found in #HuntTheMouse Singapore!,1AAnoiS3U-c,https://www.youtube.com/shorts/1AAnoiS3U-c,20241020,25
134,Silver Coin #134 has been found in #HuntTheMouse Singapore!,YTH47nRfMRA,https://www.youtube.com/shorts/YTH47nRfMRA,20241021,18
135,Silver Coin #135 has been found in #HuntTheMouse Singapore!,83n-2-dx4tY,https://www.youtube.com/shorts/83n-2-dx4tY,20241023,15
136,Silver Coin #136 has been found in #HuntTheMouse Singapore!,xq_h7Da6-oY,https://www.youtube.com/shorts/xq_h7Da6-oY,20241024,20
137,Silver Coin #137 has been found in #HuntTheMouse Singapore!,jLcQztJZTcs,https://www.youtube.com/shorts/jLcQztJZTcs,20241024,16
138,Silver Coin #138 has been found in #HuntTheMouse Singapore!,7zIdh9d9Lrc,https://www.youtube.com/shorts/7zIdh9d9Lrc,20241024,19
139,Silver Coin #139 has been found in #HuntTheMouse Singapore!,T25JeO8DzGI,https://www.youtube.com/shorts/T25JeO8DzGI,20241024,18
140,Silver Coin #140 has been found in #HuntTheMouse Singapore!,AwSgaGZf4rM,https://www.youtube.com/shorts/AwSgaGZf4rM,20241024,14
141,Silver Coin #141 has been found in #HuntTheMouse Singapore!,hyzzgLGjYEI,https://www.youtube.com/shorts/hyzzgLGjYEI,20241024,17
142,Silver Coin #142 has been found in #HuntTheMouse Singapore!,QGU0yK8dsI8,https://www.youtube.com/shorts/QGU0yK8dsI8,20241023,16
143,Silver Coin #143 has been found in #HuntTheMouse Singapore!,AWBxyC1UNIU,https://www.youtube.com/shorts/AWBxyC1UNIU,20241025,16
144,Silver Coin #144 has been found in #HuntTheMouse Singapore!,ZeRza6jx4O0,https://www.youtube.com/shorts/ZeRza6jx4O0,20241025,20
145,Silver Coin #145 has been found in #HuntTheMouse Singapore!,-9sHzg6psU8,https://www.youtube.com/shorts/-9sHzg6psU8,20241025,16
146,Silver Coin #146 has been found in #HuntTheMouse Singapore!,hjlbvZxwnt4,https://www.youtube.com/shorts/hjlbvZxwnt4,20241023,20
147,Silver Coin #147 has been found in #HuntTheMouse Singapore!,ROPiVqAdaWk,https://www.youtube.com/shorts/ROPiVqAdaWk,20241025,20
148,Silver Coin #148 has been found in #HuntTheMouse Singapore!,GtnT9Rxmpvc,https://www.youtube.com/shorts/GtnT9Rxmpvc,20241025,19
149,Silver Coin #149 has been found in #HuntTheMouse Singapore!,_vnkxRTM68I,https://www.youtube.com/shorts/_vnkxRTM68I,20241026,20
150,Silver Coin #150 has been found in #HuntTheMouse Singapore!,vlY3yTUuA18,https://www.youtube.com/shorts/vlY3yTUuA18,20241023,16
151,Silver Coin #151 has been found in #HuntTheMouse Singapore!,-mwMI-5qaJE,https://www.youtube.com/shorts/-mwMI-5qaJE,20241026,25
152,Silver Coin #152 has been found in #HuntTheMouse Singapore!,zWq_FkqTukc,https://www.youtube.com/shorts/zWq_FkqTukc,20241024,20
153,Silver Coin #153 has been found in #HuntTheMouse Singapore!,CKCuWG7dJvk,https://www.youtube.com/shorts/CKCuWG7dJvk,20241026,21
154,Silver Coin #154 has been found in #HuntTheMouse Singapore!,PhSCg1nnIYM,https://www.youtube.com/shorts/PhSCg1nnIYM,20241028,16
155,Silver Coin #155 has been found in #HuntTheMouse Singapore!,pdwyUfuANCU,https://www.youtube.com/shorts/pdwyUfuANCU,20241026,18
156,Silver Coin #156 has been found in #HuntTheMouse Singapore!,q8u1wYmgYyI,https://www.youtube.com/shorts/q8u1wYmgYyI,20241026,20
157,Silver Coin #157 has been found in #HuntTheMouse Singapore!,PGPTVz38V2Q,https://www.youtube.com/shorts/PGPTVz38V2Q,20241029,15
158,Silver Coin #158 has been found in #HuntTheMouse Singapore!,iue2mhDiyLI,https://www.youtube.com/shorts/iue2mhDiyLI,20241026,17
159,Silver Coin #159 has been found in #HuntTheMouse Singapore!,sC90RnRui18,https://www.youtube.com/shorts/sC90RnRui18,20241028,20
160,Silver Coin #160 has been found in #HuntTheMouse Singapore!,ogyuEjhBmQk,https://www.youtube.com/shorts/ogyuEjhBmQk,20241028,12
161,Silver Coin #161 has been found in #HuntTheMouse Singapore!,pYNJ3yPrsIQ,https://www.youtube.com/shorts/pYNJ3yPrsIQ,,
162,Silver Coin #162 has been found in #HuntTheMouse Singapore!,ZrVGKwS2jUI,https://www.youtube.com/shorts/ZrVGKwS2jUI,,
163,Silver Coin #163 has been found in #HuntTheMouse Singapore!,MtiKFQwJgY4,https://www.youtube.com/shorts/MtiKFQwJgY4,20241028,16
164,Silver Coin #164 has been found in #HuntTheMouse Singapore!,ZFmqlIOf9qU,https://www.youtube.com/shorts/ZFmqlIOf9qU,20241026,15
165,Silver Coin #165 has been found in #HuntTheMouse Singapore!,Ga1cEcsY108,https://www.youtube.com/shorts/Ga1cEcsY108,20241028,16
166,Silver Coin #166 has been found in #HuntTheMouse Singapore!,IOxpWv717IE,https://www.youtube.com/shorts/IOxpWv717IE,20241107,20
167,Silver Coin #167 has been found in #HuntTheMouse Singapore!,B_KtNA5_VdM,https://www.youtube.com/shorts/B_KtNA5_VdM,,
168,Silver Coin #168 has been found in #HuntTheMouse Singapore!,aKoPINs2_bA,https://www.youtube.com/shorts/aKoPINs2_bA,20241028,17
170,Silver Coin #170 has been found in #HuntTheMouse Singapore!,qRBM3FEgZ2w,https://www.youtube.com/shorts/qRBM3FEgZ2w,20241026,16
171,Silver Coin #171 has been found in #HuntTheMouse Singapore!,2rh5u9vUytM,https://www.youtube.com/shorts/2rh5u9vUytM,20241026,22
172,Silver Coin #172 has been found in #HuntTheMouse Singapore!,8qI56TPnCi4,https://www.youtube.com/shorts/8qI56TPnCi4,20241028,18
173,Silver Coin #173 has been found in #HuntTheMouse Singapore!,9gifzwmXklM,https://www.youtube.com/shorts/9gifzwmXklM,20241028,19
174,Silver Coin #174 has been found in #HuntTheMouse Singapore!,lRvou6erXdw,https://www.youtube.com/shorts/lRvou6erXdw,,
175,Silver Coin #175 has been found in #HuntTheMouse Singapore!,F2CgpvPMWRg,https://www.youtube.com/shorts/F2CgpvPMWRg,20241027,15
176,Silver Coin #176 has been found in #HuntTheMouse Singapore!,S47djcu6oKI,https://www.youtube.com/shorts/S47djcu6oKI,20241029,14
177,Silver Coin #177 has been found in #HuntTheMouse Singapore!,JxmDqLJebuY,https://www.youtube.com/shorts/JxmDqLJebuY,20241031,18
178,Silver Coin #178 has been found in #HuntTheMouse Singapore!,jxcXnRQGvzg,https://www.youtube.com/shorts/jxcXnRQGvzg,20241031,18
179,Silver Coin #179 has been found in #HuntTheMouse Singapore!,Gzi1qnku0Bw,https://www.youtube.com/shorts/Gzi1qnku0Bw,20241029,18
180,Silver Coin #180 has been found in #HuntTheMouse Singapore!,DQWB3xMYr8I,https://www.youtube.com/shorts/DQWB3xMYr8I,,
181,Silver Coin #181 has been found in #HuntTheMouse Singapore!,8wj88w1lM3w,https://www.youtube.com/shorts/8wj88w1lM3w,,
182,Silver Coin #182 has been found in #HuntTheMouse Singapore!,6sjNWxkIyM4,https://www.youtube.com/shorts/6sjNWxkIyM4,,
183,Silver Coin #183 has been found in #HuntTheMouse Singapore!,U02mHK_AiBs,https://www.youtube.com/shorts/U02mHK_AiBs,,
